"atr_sl_mult","atr_tp_mult","min_entry_score","trades","net_profit","profit_factor","expected_payoff","max_equity_dd_pct","recovery_factor","sharpe_ratio","win_rate_pct"
"2.50","1.00","75.0","60","-30.39","0.825","-0.507","5.61","-0.530","-5.000","28.33"
"2.50","1.00","85.0","60","-30.39","0.825","-0.507","5.61","-0.530","-5.000","28.33"
"3.00","1.00","55.0","60","-30.39","0.825","-0.507","5.61","-0.530","-5.000","28.33"
"3.00","1.00","65.0","60","-30.39","0.825","-0.507","5.61","-0.530","-5.000","28.33"
"3.00","1.00","75.0","60","-30.39","0.825","-0.507","5.61","-0.530","-5.000","28.33"
"3.00","1.00","85.0","60","-30.39","0.825","-0.507","5.61","-0.530","-5.000","28.33"
"1.00","1.50","55.0","60","-30.39","0.825","-0.507","5.61","-0.530","-5.000","28.33"
"1.00","1.50","65.0","60","-30.39","0.825","-0.507","5.61","-0.530","-5.000","28.33"
"1.00","1.50","75.0","60","-30.39","0.825","-0.507","5.61","-0.530","-5.000","28.33"
"1.00","1.50","85.0","60","-30.39","0.825","-0.507","5.61","-0.530","-5.000","28.33"
"1.50","1.50","55.0","60","-30.39","0.825","-0.507","5.61","-0.530","-5.000","28.33"
"1.50","1.50","65.0","60","-30.39","0.825","-0.507","5.61","-0.530","-5.000","28.33"
"1.50","1.50","75.0","60","-30.39","0.825","-0.507","5.61","-0.530","-5.000","28.33"
"1.50","1.50","85.0","60","-30.39","0.825","-0.507","5.61","-0.530","-5.000","28.33"
"2.00","1.50","55.0","60","-30.39","0.825","-0.507","5.61","-0.530","-5.000","28.33"
"2.00","1.50","65.0","60","-30.39","0.825","-0.507","5.61","-0.530","-5.000","28.33"
"2.00","1.50","75.0","60","-30.39","0.825","-0.507","5.61","-0.530","-5.000","28.33"
"2.00","1.50","85.0","60","-30.39","0.825","-0.507","5.61","-0.530","-5.000","28.33"
"2.50","1.50","55.0","60","-30.39","0.825","-0.507","5.61","-0.530","-5.000","28.33"
"2.50","1.50","65.0","60","-30.39","0.825","-0.507","5.61","-0.530","-5.000","28.33"
"2.50","1.50","75.0","60","-30.39","0.825","-0.507","5.61","-0.530","-5.000","28.33"
"2.50","1.50","85.0","60","-30.39","0.825","-0.507","5.61","-0.530","-5.000","28.33"
"3.00","1.50","55.0","60","-30.39","0.825","-0.507","5.61","-0.530","-5.000","28.33"
"3.00","1.50","65.0","60","-30.39","0.825","-0.507","5.61","-0.530","-5.000","28.33"
"3.00","1.50","75.0","60","-30.39","0.825","-0.507","5.61","-0.530","-5.000","28.33"
"3.00","1.50","85.0","60","-30.39","0.825","-0.507","5.61","-0.530","-5.000","28.33"
"1.00","2.00","55.0","60","-30.39","0.825","-0.507","5.61","-0.530","-5.000","28.33"
"1.00","2.00","65.0","60","-30.39","0.825","-0.507","5.61","-0.530","-5.000","28.33"
"1.00","2.00","75.0","60","-30.39","0.825","-0.507","5.61","-0.530","-5.000","28.33"
"1.00","2.00","85.0","60","-30.39","0.825","-0.507","5.61","-0.530","-5.000","28.33"
"1.50","2.00","55.0","60","-30.39","0.825","-0.507","5.61","-0.530","-5.000","28.33"
"1.50","2.00","65.0","60","-30.39","0.825","-0.507","5.61","-0.530","-5.000","28.33"
"1.50","2.00","75.0","60","-30.39","0.825","-0.507","5.61","-0.530","-5.000","28.33"
"1.50","2.00","85.0","60","-30.39","0.825","-0.507","5.61","-0.530","-5.000","28.33"
"2.00","2.00","55.0","60","-30.39","0.825","-0.507","5.61","-0.530","-5.000","28.33"
"2.00","2.00","65.0","60","-30.39","0.825","-0.507","5.61","-0.530","-5.000","28.33"
