time,open,high,low,close,ema200,macd_main,macd_signal
2026.05.15 00:00,4652.57,4665.11,4613.39,4629.96,4707.567813084881,-6.2080070673246155,2.6123932880860905
2026.05.15 04:00,4630.13,4631.35,4604.18,4605.68,4706.55400399946,-11.714030295478551,0.61377789518567
2026.05.15 08:00,4605.99,4606.26,4549.99,4554.18,4705.037844755685,-20.002635043512782,-2.1509669929608304
2026.05.15 12:00,4554.1,4572.33,4531.8,4545.82,4703.453587593937,-26.93550047238932,-5.701694687299529
2026.05.15 16:00,4545.77,4566.38,4511.57,4544.2,4701.868974782057,-32.189506144901316,-9.81942499269546
2026.05.15 20:00,4544.23,4564.33,4533.0,4539.56,4700.25396010761,-36.30920282684201,-14.294930914226956
2026.05.18 00:00,4529.44,4554.36,4480.17,4515.82,4698.418796325444,-41.016894497000976,-19.31244900314053
2026.05.18 04:00,4514.66,4549.73,4489.33,4540.56,4696.848062033649,-42.26426666596399,-24.244689935697682
2026.05.18 08:00,4540.55,4559.77,4529.59,4549.82,4695.385096242269,-42.021219030069915,-28.740140227053747
2026.05.18 12:00,4549.68,4574.64,4529.81,4571.15,4694.148926130406,-39.650384340636265,-32.455959924088376
2026.05.18 16:00,4571.17,4584.05,4531.57,4550.05,4692.7151059699045,-39.02422742622912,-35.49042627194955
2026.05.18 20:00,4549.76,4566.5,4534.09,4565.97,4691.453960636871,-36.81895659669408,-37.35890644452525
2026.05.19 00:00,4568.23,4589.03,4561.12,4563.03,4690.176110282276,-34.9061209713127,-38.24453094440563
2026.05.19 04:00,4562.76,4572.24,4537.83,4542.32,4688.70490520484,-34.66174980075721,-38.519224683945176
2026.05.19 08:00,4542.35,4559.17,4530.77,4542.62,4687.251324058523,-34.05135358677944,-38.26835254616044
2026.05.19 12:00,4542.55,4547.8,4525.36,4536.97,4685.755987500726,-33.63578557199071,-37.448229332270415
2026.05.19 16:00,4537.03,4537.23,4464.39,4507.5,4683.982296082809,-35.27776749120767,-36.67195164618638
2026.05.19 20:00,4507.42,4510.88,4480.76,4481.88,4681.971327962582,-38.205955405223904,-36.248033465647936
